Bill #,State,Session,Subject,Introduced,Latest Action,Latest Action Date,Link,Primary Sponsor,Cosponsors,Latest Bill Text
A 3862,New York,2021 Regular Session,"Relates to establishing a task force to study and report on the potential implementation of blockchain technology in state record keeping, information storage, and service delivery",Jan 28 2021,Referred To Governmental Operations,Jan 05 2022,https://openstates.org/ny/bills/2021-2022/A3862/,Clyde Vanel,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A3862&term=2021&Text=Y
SB 17,Kentucky,2022 Regular Session,AN ACT relating to digital assets.,Nov 05 2021,To Banking & Insurance (S),Jan 04 2022,https://openstates.org/ky/bills/2022RS/SB17/,Brandon Smith,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/sb17/orig_bill.pdf
SB 16,Kentucky,2022 Regular Session,AN ACT relating to special purpose depository institutions.,Nov 05 2021,To Banking & Insurance (S),Jan 04 2022,https://openstates.org/ky/bills/2022RS/SB16/,Brandon Smith,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/sb16/orig_bill.pdf
S 3132,New Jersey,2020-2021 Regular Session,"""Digital Asset and Blockchain Technology Act.""",Nov 05 2020,Substituted By A2891 (4r),Dec 20 2021,https://openstates.org/nj/bills/219/S3132/,"Thomas H. Kean, Jr.",Linda R. Greenstein,http://www.njleg.state.nj.us/2020/Bills/S3500/3132_R3.HTM
A 2891,New Jersey,2020-2021 Regular Session,"""Digital Asset and Blockchain Technology Act.""",Feb 20 2020,"Received In The Assembly, 2nd Reading On Concurrence",Dec 20 2021,https://openstates.org/nj/bills/219/A2891/,"Thomas H. Kean, Jr.",Valerie Vainieri Huttle; Linda R. Greenstein; Gordon M. Johnson,http://www.njleg.state.nj.us/2020/Bills/A3000/2891_R4.HTM
HB 622,Hawaii,2022 Regular Session,Relating To Blockchain Technology.,Jan 22 2021,Carried Over To 2022 Regular Session.,Dec 10 2021,https://openstates.org/hi/bills/2022 Regular Session/HB622/,Justin H. Woodson,,https://capitol.hawaii.gov/sessions/session2022/bills/HB622_.HTM
S 4163,New Jersey,2020-2021 Regular Session,"""Virtual Currency and Blockchain Regulation Act.""",Nov 22 2021,"Introduced In The Senate, Referred To Senate Commerce Committee",Nov 22 2021,https://openstates.org/nj/bills/219/S4163/,Robert W. Singer,"O'Scanlon, Declan J.",http://www.njleg.state.nj.us/2020/Bills/S4500/4163_I1.HTM
HR 6006,United States,117th Congress,Keep Innovation in America Act,Nov 17 2021,Introduced In House,Nov 17 2021,https://openstates.org/us/bills/117/HR6006/,Patrick McHenry,Tim Ryan; Kevin Brady; Ro Khanna; Tom Emmer; Eric Swalwell; Warren Davidson; Darren Soto; Anthony Gonzalez; Ted Budd; Mike Bost; David Schweikert; Byron Donalds; Jake Auchincloss; J. French Hill; William R. Timmons; Bryan Steil; Gregory Murphy; Jackie Walorski; David P. Joyce,https://www.govinfo.gov/content/pkg/BILLS-117hr6006ih/pdf/BILLS-117hr6006ih.pdf
HR 5412,United States,117th Congress,Intelligence Authorization Act for Fiscal Year 2022,Sep 29 2021,Reported (Amended) By The Committee On Intelligence. H. Rept. 117-156.,Oct 28 2021,https://openstates.org/us/bills/117/HR5412/,Adam B. Schiff,,https://www.govinfo.gov/content/pkg/BILLS-117hr5412rh/pdf/BILLS-117hr5412rh.pdf
S 3076,United States,117th Congress,Ban Conflicted Trading at the Fed Act,Oct 26 2021,Introduced In Senate,Oct 26 2021,https://openstates.org/us/bills/117/S3076/,Sherrod Brown,Kirsten E. Gillibrand; Jeff Merkley; Raphael G. Warnock; Jon Ossoff,https://www.govinfo.gov/content/pkg/BILLS-117s3076is/pdf/BILLS-117s3076is.pdf
HB 1888,Arkansas,2021 Regular Session,Concerning The Control Of Virtual Currency For Purposes Of The Uniform Commercial Code; And To Clarify The Rights Of Purchasers Who Obtain Control Of Virtual Currency For Purposes Of The Uniform Commercial Code.,Apr 07 2021,Died In House Committee At Sine Die Adjournment,Oct 15 2021,https://openstates.org/ar/bills/2021/HB1888/,Stephen Meeks,,ftp://www.arkleg.state.ar.us/Bills/2021R/Public/Searchable/HB1888.pdf
HB 624,North Carolina,2021-2022 Session,North Carolina Regulatory Sandbox Act.,Apr 20 2021,Signed By Gov. 10/15/2021,Oct 15 2021,https://openstates.org/nc/bills/2021/HB624/,Brandon Lofton,"John Szoka; Gale Adcock, FNP; Brian Farkas; Wesley Harris, PhD; Zack Hawkins; Rachel Hunt; Verla Insko; Michael H. Wray",https://www.ncleg.gov/Sessions/2021/Bills/House/PDF/H624v6.pdf
HR 119,Michigan,2021-2022 Regular Session,A resolution to declare October 2021 as Cryptocurrency Education Month in the state of Michigan.,Jun 02 2021,Adopted,Oct 13 2021,https://openstates.org/mi/bills/2021-2022/HR119/,Brad Paquette,Abraham Aiyash; Shri Thanedar,http://legislature.mi.gov/documents/2021-2022/resolutionadopted/House/htm/2021-HAR-0119.htm
HR 5496,United States,117th Congress,Clarity for Digital Tokens Act of 2021,Oct 05 2021,Introduced In House,Oct 05 2021,https://openstates.org/us/bills/117/HR5496/,Patrick McHenry,Warren Davidson; Ted Budd; Anthony Gonzalez,https://www.govinfo.gov/content/pkg/BILLS-117hr5496ih/pdf/BILLS-117hr5496ih.pdf
A 1178,New Jersey,2020-2021 Regular Session,Permits corporations to use blockchain technology for certain recordkeeping requirements.,Jan 14 2020,"Approved P.L.2021, C.238.",Sep 28 2021,https://openstates.org/nj/bills/219/A1178/,Nellie Pou,"Linda S. Carter; Gordon M. Johnson; Yvonne Lopez; Robert J. Karabinchak; P. Christopher Tully; O'Scanlon, Declan J.",http://www.njleg.state.nj.us/2020/Bills/A1500/1178_I1.HTM
HB 387,Ohio,134th Legislature (2021-2022),Make changes to election laws,Aug 12 2021,Refer To Committee,Sep 16 2021,https://openstates.org/oh/bills/134/HB387/,Bill Dean,Scott Wiggam; Diane V. Grendell; Reggie Stoltzfus; Jennifer Gross; Tom Brinkman; Ron Ferguson,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb387/IN/00/hb387_00_IN?format=pdf
HR 5101,United States,117th Congress,U.S. Virtual Currency Market and Regulatory Competitiveness Act of 2021,Aug 24 2021,"Referred To The Subcommittee On Commodity Exchanges, Energy, And Credit.",Sep 14 2021,https://openstates.org/us/bills/117/HR5101/,Darren Soto,Ted Budd; Ro Khanna; Warren Davidson; Tom Emmer,https://www.govinfo.gov/content/pkg/BILLS-117hr5101ih/pdf/BILLS-117hr5101ih.pdf
HR 5088,United States,117th Congress,Stopping Terrorist Minerals Trade Act,Aug 24 2021,Introduced In House,Aug 24 2021,https://openstates.org/us/bills/117/HR5088/,Paul A. Gosar,Pete Stauber; Bruce Westerman; Fred Keller; Dan Newhouse,https://www.govinfo.gov/content/pkg/BILLS-117hr5088ih/pdf/BILLS-117hr5088ih.pdf
HD 3861,Massachusetts,192nd Legislature (2021-2022),An Act establishing a rideshare driver bill of rights,Aug 18 2021,Placed On File,Aug 18 2021,https://openstates.org/ma/bills/192nd/HD3861/,,Henry Matthews De Groot,https://malegislature.gov/Bills/192/HD3861.pdf
HR 5045,United States,117th Congress,Blockchain Regulatory Certainty Act,Aug 17 2021,Introduced In House,Aug 17 2021,https://openstates.org/us/bills/117/HR5045/,Tom Emmer,Darren Soto,https://www.govinfo.gov/content/pkg/BILLS-117hr5045ih/pdf/BILLS-117hr5045ih.pdf
HR 5037,United States,117th Congress,Safe and Certain Elections Act,Aug 13 2021,Introduced In House,Aug 13 2021,https://openstates.org/us/bills/117/HR5037/,Beth Van Duyne,,https://www.govinfo.gov/content/pkg/BILLS-117hr5037ih/pdf/BILLS-117hr5037ih.pdf
HR 121,Pennsylvania,2021-2022 Regular Session,A Concurrent Resolution establishing the Blockchain Working Group.,Jul 30 2021,Pn 1989 Referred To Commerce,Jul 30 2021,https://openstates.org/pa/bills/2021-2022/HR121/,Napoleon J. Nelson,Nick Pisciottano; Malcolm Kenyatta; Francis X. Ryan; R. Lee James; Benjamin V. Sanchez; Summer Lee; Steven R. Malagari; Tina M. Davis,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=R&billNbr=0121&pn=1989
H 3973,Massachusetts,192nd Legislature (2021-2022),An Act making appropriations for fiscal year 2021 to provide for supplementing certain existing appropriations and for certain other activities and projects,Jul 19 2021,"Signed By The Governor, Chapter 29 Of The Acts Of 2021",Jul 29 2021,https://openstates.org/ma/bills/192nd/H3973/,Supplemental budget,House Committee on Ways and Means,https://malegislature.gov/Bills/192/H3973.pdf
S 2377,United States,117th Congress,Energy Infrastructure Act,Jul 19 2021,Introduced In Senate,Jul 19 2021,https://openstates.org/us/bills/117/S2377/,Joseph Manchin,,https://www.govinfo.gov/content/pkg/BILLS-117s2377rs/pdf/BILLS-117s2377rs.pdf
HR 4461,United States,117th Congress,21st Century Jobs Act,Jul 16 2021,Referred To The Subcommittee On Environment And Climate Change.,Jul 19 2021,https://openstates.org/us/bills/117/HR4461/,Ro Khanna,Suzan K. DelBene; Dwight Evans; Nanette Diaz Barragan; Tim Ryan,https://www.govinfo.gov/content/pkg/BILLS-117hr4461ih/pdf/BILLS-117hr4461ih.pdf
HR 4451,United States,117th Congress,Securities Clarity Act,Jul 16 2021,Introduced In House,Jul 16 2021,https://openstates.org/us/bills/117/HR4451/,Tom Emmer,Darren Soto; Ro Khanna; Glenn Thompson,https://www.govinfo.gov/content/pkg/BILLS-117hr4451ih/pdf/BILLS-117hr4451ih.pdf
SB 1039,Connecticut,2021 Regular Session,An Act Concerning Blockchain And Emerging Technologies.,Mar 11 2021,Signed By Governor,Jul 12 2021,https://openstates.org/ct/bills/2021/SB1039/,Jaime S. Foster,,https://www.cga.ct.gov/2021/TOB/S/PDF/2021SB-01039-R00-SB.PDF
HB 1300,Pennsylvania,2021-2022 Regular Session,"An Act amending the act of June 3, 1937 (P.L.1333, No.320), known as the Pennsylvania Election Code, as follows: in preliminary provisions, further providing for definitions, providing for legislative authority over elections, establishing the Bureau of Election Audits and providing for special standing in challenges to the Election Code; in the Secretary of the Commonwealth, further providing for powers and duties of the Secretary of the Commonwealth and providing for reports on implementation of elections; in county boards of elections, further providing for powers and duties of county boards and providing for county boards of elections and satellite offices; in district election officers, further providing for  qualifications of election officers, for compensation of district election officers and for appointment of watchers; providing for registration of electors; in ballots, further providing for form of official election ballot and for number of ballots to be printed and specimen ballots; in voting machines, further providing for examination and approval of voting machines by the Secretary of the Commonwealth, for requirements of voting machines, for preparation of voting machines by county election boards and for delivery of voting machines and supplies by county election boards to election officers; in electronic voting systems, further providing for experimental use of electronic voting systems and for statistical sample and providing for requirements of accessible voting machines; in voting apparatus bonds, providing for voting system defects, disclosure, investigations and penalties; in preparation for and conduct of primaries and elections, providing for voter's bill of rights, for senior voter's bill of rights, for disabled voter's bill of rights and further providing for time for opening and closing polls, for manner of applying to vote, persons entitled to vote, voter's certificates, entries to be made in district register, numbered lists of voters and challenges and for deadline for receipt of valid voter registration application; in voting by qualified absentee electors, further providing for applications for official absentee ballots, for date of application for absentee ballot, for delivering or mailing ballots, for voting by absentee electors, providing for supervised voting by qualified absentee electors in certain facilities and further providing for canvassing of official absentee ballots and mail-in ballots; in voting by qualified mail-in electors, further providing for applications for official mail-in ballots, for date of application for mail-in ballot, for delivering or mailing ballots and for voting by mail-in electors; in Pennsylvania Election Law Advisory Board, further providing for Pennsylvania Election Law Advisory Board; providing for early voting by qualified electors; in returns of primaries and elections, further providing for returns to be open to public inspection and exceptions and for computation of returns by county board, certification and issuance of certificates of election; in recounts and contest, providing for powers and duties of the Attorney General relating to elections; in penalties, further providing for disobeying lawful instructions, for perjury, for false affidavits of candidates, for refusal to permit inspection of papers, destruction or removal and Secretary of the Commonwealth, for refusal to permit inspection of papers, destruction or removal and county boards of elections, for insertion and alteration of entries in documents, removal and refusal to deliver, for refusal to permit overseers, watchers, attorneys or candidates to act, for driving away watchers, attorneys, candidates or overseers, for refusal to permit election officers, clerks and machine inspectors to act and driving away said persons, for refusal to administer oath and acting without being sworn, for violation of oath of office by election officers, for peace officers, failure to render assistance and hindering or delaying county board members and others, for nomination petitions and papers and offenses by signers, for false signatures and statements in nomination petitions and papers, for nomination petitions, certificates and papers, destruction, fraudulent filing and suppression, for offenses by printers of ballots, for unlawful possession of ballots and counterfeiting ballots, for forging and destroying ballots, for tampering with voting machines, for destroying, defacing or removing notices, et cetera, for police officers at polling places and for peace officer, failure to quell disturbances at polls, hindering or delaying election officers and others, for election officers permitting unregistered electors to vote, challenges and refusing to permit qualified electors to vote, for election officers refusing to permit elector to vote in proper party at primaries, for frauds by election officers, for prying into ballots, for interference with primaries and elections, frauds and conspiracy, for persons interfering in other districts, for assault and battery at polls, for unlawful assistance in voting, for election officers permitting unlawful assistance, for failure to keep and return record of assisted voters, for unlawful voting, for elector voting ballot of wrong party at primary, for repeat voting at elections, for removing ballots, for commissioners to take soldiers' votes, for fraudulent voting by soldiers, for bribery at elections, for receipts and disbursements of primary and election expenses by persons other than candidates and treasurers, for receipts of primary and election expenses by unauthorized persons, for contributions by corporations or unincorporated associations, for failure to file expense account, for prohibiting duress and intimidation of voters and interference with the free exercise of the elective franchise, for failure to perform duty, for hindering or delaying performance of duty, for violation of any provision of act, for violations of provisions relating to absentee and mail-in ballots and providing for unlawful collection of ballots and prohibiting duress and intimidation of elections officials; providing for reimbursements and withholding; and making a related repeal.",Jun 10 2021,Vetoed By The Governor,Jun 30 2021,https://openstates.org/pa/bills/2021-2022/HB1300/,Seth M. Grove,Francis X. Ryan; Eric R. Nelson; Jason Ortitay; Paul Schemel; Andrew Lewis; Jeff C. Wheeland; Clint Owlett; Ryan E. Mackenzie; Craig T. Staats; Mark M. Gillen; Ann Flood; Jack Rader; Barry J. Jozwiak; Aaron Bernstine; Carrie Lewis DelRosso; Jerry Knowles; Bud Cook; Jason Silvis; Perry A. Stambaugh; Greg Rothman; Jim Rigby; Curtis G. Sonney; Donna Oberlander; Susan C. Helm; Louis C. Schmitt; James B. Struzzi; David R. Millard; Kurt A. Masser; Joe Kerwin; Robert W. Mercuri; Keith Gillespie; Martin T. Causer; Jonathan Fritz,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=B&billNbr=1300&pn=1760
SB 1823,Arizona,55th Legislature,general appropriations act; 2021-2022,May 24 2021,Signed By Governor,Jun 30 2021,https://openstates.org/az/bills/55th-1st-regular/SB1823/,Karen Fann,Sonny Borrelli; David Gowan; Rick Gray; Vince Leach,https://www.azleg.gov/legtext/55leg/1R/proposed/S.1823FLOORSTEELE0513.docx.htm
AB 128,California,2021-2022 Regular Session,Budget Act of 2021.,Jan 08 2021,"Chaptered By Secretary Of State - Chapter 21, Statutes Of 2021.",Jun 28 2021,https://openstates.org/ca/bills/20212022/AB128/,,,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=202120220AB128&version=20210AB12895CHP
HB 5778,Rhode Island,2021 Regular Session,"AN ACT RELATING TO BANKING - FINANCIAL INSTITUTIONS CREATION AND EXPANSION (Amends provisions relating to receiverships/licensing. Security bonds, reporting requirements, resident agent to eliminate same requirement/clarify language to reduce burden on financial businesses.)",Feb 24 2021,06/25/2021 Referred To Senate Commerce,Jun 25 2021,https://openstates.org/ri/bills/2021/HB5778/,Stephen M. Casey,,http://webserver.rilin.state.ri.us/BillText/BillText21/HouseText21/H5778A.pdf
HF 62,Minnesota,"2021, First Special Session",Certificate tokens allowed to issued in place of stock shares.,Jun 25 2021,"Introduction And First Reading, Referred To Commerce Finance And Policy",Jun 25 2021,https://openstates.org/mn/bills/2021s1/HF62/,Jeremy Munson,Calvin K. Bahr; Erik Mortensen,https://www.revisor.mn.gov/bills/text.php?number=HF62&version=0&session=ls92&session_year=2021&session_number=1
A 5926,New Jersey,2020-2021 Regular Session,"""Virtual Currency and Blockchain Regulation Act.""",Jun 24 2021,"Introduced In The Assembly, Referred To Assembly Judiciary Committee",Jun 24 2021,https://openstates.org/nj/bills/219/A5926/,Yvonne Lopez,,http://www.njleg.state.nj.us/2020/Bills/A9999/5926_I1.HTM
HR 3723,United States,117th Congress,Consumer Safety Technology Act,Jun 04 2021,"Received In The Senate And Read Twice And Referred To The Committee On Commerce, Science, And Transportation.",Jun 24 2021,https://openstates.org/us/bills/117/HR3723/,Jerry McNerney,Michael C. Burgess; Darren Soto; Brett Guthrie; Warren Davidson; Van Taylor,https://www.govinfo.gov/content/pkg/BILLS-117hr3723rfs/pdf/BILLS-117hr3723rfs.pdf
S 2485,Massachusetts,192nd Legislature (2021-2022),Amendment S.2485,Jun 24 2021,See H3871,Jun 24 2021,https://openstates.org/ma/bills/192nd/S2485/,,Senate Committee on Ways and Means,https://malegislature.gov/Bills/192/S2485.pdf
HB 21-1268,Colorado,2021 Regular Session,Study Emerging Technologies For Water Management,Apr 09 2021,Governor Signed,Jun 18 2021,https://openstates.org/co/bills/2021A/HB21-1268/,Cleave Simpson,,http://leg.colorado.gov/sites/default/files/2021a_hb1268_s_app_002.pdf
HB 6392,Rhode Island,2021 Regular Session,AN ACT RELATING TO FINANCIAL INSTITUTIONS -- SMALL LOAN LENDERS (Protects borrowers using motor vehicle titles as collateral for loans.),Jun 04 2021,06/15/2021 Committee Recommended Measure Be Held For Further Study,Jun 15 2021,https://openstates.org/ri/bills/2021/HB6392/,Carol Hagan McEntee,,http://webserver.rilin.state.ri.us/BillText/BillText21/HouseText21/H6392.pdf
HR 213,Louisiana,2021 Regular Session,"COMMERCE: Directs the House Committee on Commerce, or a subcommittee thereof, to study the potential role of blockchain technology in the state",Jun 09 2021,Taken By The Clerk Of The House And Presented To The Secretary Of State In Accordance With The Rules Of The House.,Jun 14 2021,https://openstates.org/la/bills/2021/HR213/,Mark Wright,,http://www.legis.la.gov/Legis/ViewDocument.aspx?d=1233970
H 3773,Massachusetts,192nd Legislature (2021-2022),An Act making appropriations for fiscal year 2021 to provide for supplementing certain existing appropriations and for certain other activities and projects,May 20 2021,"Reported, In Part, By H3862",Jun 09 2021,https://openstates.org/ma/bills/192nd/H3773/,Charles D. Baker,,https://malegislature.gov/Bills/192/H3773.pdf
HB 1576,Texas,87th Legislature (2021),Relating to the creation of a work group on blockchain matters concerning this state.,Feb 04 2021,Effective On 9/1/21,Jun 07 2021,https://openstates.org/tx/bills/87/HB1576/,Angela Paxton,,http://capitol.texas.gov/tlodocs/87R/billtext/html/HB01576F.HTM
S 898,New Jersey,2020-2021 Regular Session,Permits corporations to use blockchain technology for certain recordkeeping requirements.,Jan 27 2020,Substituted By A1178,Jun 03 2021,https://openstates.org/nj/bills/219/S898/,Nellie Pou,"O'Scanlon, Declan J.",http://www.njleg.state.nj.us/2020/Bills/S1000/898_I1.HTM
HR 3612,United States,117th Congress,Blockchain Promotion Act of 2021,May 28 2021,Referred To The Subcommittee On Consumer Protection And Commerce.,May 31 2021,https://openstates.org/us/bills/117/HR3612/,Doris O. Matsui,Brett Guthrie,https://www.govinfo.gov/content/pkg/BILLS-117hr3612ih/pdf/BILLS-117hr3612ih.pdf
HR 3638,United States,117th Congress,Digital Taxonomy Act,May 28 2021,Referred To The Subcommittee On Consumer Protection And Commerce.,May 31 2021,https://openstates.org/us/bills/117/HR3638/,Darren Soto,Warren Davidson,https://www.govinfo.gov/content/pkg/BILLS-117hr3638ih/pdf/BILLS-117hr3638ih.pdf
HR 3639,United States,117th Congress,Blockchain Innovation Act,May 28 2021,Referred To The Subcommittee On Consumer Protection And Commerce.,May 31 2021,https://openstates.org/us/bills/117/HR3639/,Darren Soto,Brett Guthrie,https://www.govinfo.gov/content/pkg/BILLS-117hr3639ih/pdf/BILLS-117hr3639ih.pdf
S 1869,United States,117th Congress,Blockchain Promotion Act of 2021,May 27 2021,Introduced In Senate,May 27 2021,https://openstates.org/us/bills/117/S1869/,Todd C. Young,Edward J. Markey,https://www.govinfo.gov/content/pkg/BILLS-117s1869is/pdf/BILLS-117s1869is.pdf
HR 3543,United States,117th Congress,Blockchain Technology Coordination Act of 2021,May 25 2021,Referred To The Subcommittee On Consumer Protection And Commerce.,May 26 2021,https://openstates.org/us/bills/117/HR3543/,Darren Soto,,https://www.govinfo.gov/content/pkg/BILLS-117hr3543ih/pdf/BILLS-117hr3543ih.pdf
HB 2199,Texas,87th Legislature (2021),Relating to the establishment of the digital identity work group.,Feb 24 2021,Removed From Local & Uncontested Calendar,May 26 2021,https://openstates.org/tx/bills/87/HB2199/,Angela Paxton,Ana-Maria Ramos,http://capitol.texas.gov/tlodocs/87R/billtext/html/HB02199S.HTM
LB 649,Nebraska,107th Legislature (2021-2022),Adopt the Nebraska Financial Innovation Act and provisions for controllable electronic records under the Uniform Commercial Code,Jan 20 2021,"Approved By Governor On May 25, 2021",May 26 2021,https://openstates.org/ne/bills/107/LB649/,Michael Flood,,https://nebraskalegislature.gov/FloorDocs/107/PDF/Slip/LB649.pdf
HB 5686,Rhode Island,2021 Regular Session,"AN ACT RELATING TO FINANCIAL INSTITUTIONS -- LICENSED ACTIVITIES -- SMALL LOAN LENDERS (Repeals the provisions of the general laws allowing deferred deposit providers, also known as ""payday lenders."")",Feb 24 2021,05/25/2021 Committee Recommended Measure Be Held For Further Study,May 25 2021,https://openstates.org/ri/bills/2021/HB5686/,Carlos E. Tobon,,http://webserver.rilin.state.ri.us/BillText/BillText21/HouseText21/H5686.pdf
LR 196,Nebraska,107th Legislature (2021-2022),Interim study to examine the potential applications for blockchain technology in agricultural operations,May 18 2021,Referred To Agriculture Committee,May 20 2021,https://openstates.org/ne/bills/107/LR196/,Carol Blood,,https://nebraskalegislature.gov/FloorDocs/107/PDF/Intro/LR196.pdf
SB 453,Rhode Island,2021 Regular Session,"AN ACT RELATING TO FINANCIAL INSTITUTIONS -- SMALL LOAN LENDERS (Repeals the provisions of the general laws allowing deferred deposit providers, also known as ""payday lenders."")",Mar 04 2021,05/20/2021 Committee Recommended Measure Be Held For Further Study,May 20 2021,https://openstates.org/ri/bills/2021/SB453/,F Lombardi,,http://webserver.rilin.state.ri.us/BillText/BillText21/SenateText21/S0453.pdf
LD 1615,Maine,130th Legislature (2021-2022),"An Act To Implement Strategies Relating To Blockchain, Cryptocurrency And Other Financial Technology",Apr 28 2021,Pursuant To Joint Rule 310.3 Placed In Legislative Files (Dead),May 19 2021,https://openstates.org/me/bills/130/LD1615/,Nathan J. Wadsworth,,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP1204&item=1&snum=130
HB 296,Ohio,134th Legislature (2021-2022),Revise voter registration and conduct of elections,May 11 2021,Refer To Committee,May 12 2021,https://openstates.org/oh/bills/134/HB296/,Beth Liston,"Tavia Galonski; Kent Smith; Phillip M. Robinson, Jr.; Richard D. Brown; Mary Lightbody; Janine R. Boyd; Michael J. Skindell; Monique Smith; Joseph A. Miller III; Casey Weinstein; Lisa A. Sobecki; Dontavius L. Jarrells; Jeffrey A. Crossman; Kristin Boggs; David Leland; Jessica E. Miranda; Michael J. O'Brien; Brigid Kelly; Juanita O. Brent; Michael Sheehy; C. Allison Russo; Thomas West; Erica C. Crawley",https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb296/IN/00/hb296_00_IN?format=pdf
HB 2544,Arizona,55th Legislature,blockchain and cryptocurrency study committee,Jan 28 2021,Signed By Governor,May 07 2021,https://openstates.org/az/bills/55th-1st-regular/HB2544/,Justin Wilmeth,Steve Kaiser; Aaron Lieberman; Jeff Weninger,https://www.azleg.gov/legtext/55leg/1R/adopted/S.2544FloorLIVINGSTON.docx.htm
SB 1076,Texas,87th Legislature (2021),Relating to the creation of a work group on blockchain matters concerning this state.,Mar 05 2021,Left Pending In Committee,May 04 2021,https://openstates.org/tx/bills/87/SB1076/,Angela Paxton,,http://capitol.texas.gov/tlodocs/87R/billtext/html/SB01076I.HTM
HR 2907,United States,117th Congress,Global Investment in American Jobs Act of 2021,Apr 30 2021,Referred To The Subcommittee On Consumer Protection And Commerce.,May 03 2021,https://openstates.org/us/bills/117/HR2907/,Greg Pence,Bobby L. Rush; David B. McKinley; Anna G. Eshoo; Jackie Walorski; Fred Upton; Billy Long; Marilyn Strickland; Paul Tonko; G. K. Butterfield; J. French Hill; MIKE DOYLE; Bryan Steil,https://www.govinfo.gov/content/pkg/BILLS-117hr2907ih/pdf/BILLS-117hr2907ih.pdf
HB 4119,Florida,2021 Regular Session,Food Equity & Racial Disparities in Food Supply Chain Blockchain Pilot: St. Petersburg,Mar 02 2021,Died In Agriculture & Natural Resources Appropriations Subcommittee,Apr 30 2021,https://openstates.org/fl/bills/2021/HB4119/,Ben Diamond,,https://flsenate.gov/Session/Bill/2021/4119/BillText/Filed/PDF
SF 38,Wyoming,2021 General Session,Decentralized autonomous organizations.,Jan 07 2021,Assigned Chapter Number 162,Apr 21 2021,https://openstates.org/wy/bills/2021/SF38/,BlockChain/Technology,,http://wyoleg.gov/2021/Amends/SF0038SS001.pdf
S 1213,United States,117th Congress,National SEAL Act of 2021,Apr 19 2021,Introduced In Senate,Apr 19 2021,https://openstates.org/us/bills/117/S1213/,Chris Van Hollen,Roy Blunt,https://www.govinfo.gov/content/pkg/BILLS-117s1213is/pdf/BILLS-117s1213is.pdf
H 328,Idaho,"66th Legislature, 1st Regular Session (2021)",COMMERCIAL TRANSACTIONS – Adds to existing law to provide for classification of digital assets as property and to provide for the application of the Uniform Commercial Code to digital assets.,Mar 11 2021,U.C. To Be Returned To Business Committee,Apr 12 2021,https://openstates.org/id/bills/2021/H328/,WAYS AND MEANS COMMITTEE,,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2021/legislation/H0328.pdf
AB 163,Nevada,2021 Regular Session,Revises provisions relating to elections. (BDR 24-690),Feb 22 2021,"(Pursuant To Joint Standing Rule No. 14.3.1, No Further Action Allowed.)",Apr 10 2021,https://openstates.org/nv/bills/81/AB163/,,Alexis Hansen; Heidi Kasama; Lisa Krasner; Glen Leavitt; Andy Matthews; Richard McArthur; Carrie A. Buck,https://www.leg.state.nv.us/Session/81st2021/Bills/AB/AB163.pdf
HB 142,Wyoming,2021 General Session,Commercial filing system update.,Feb 24 2021,S:Died In Committee Returned Bill Pursuant To Sr 5-4,Apr 08 2021,https://openstates.org/wy/bills/2021/HB142/,BlockChain/Technology,,http://wyoleg.gov/2021/Amends/HB0142HS001.pdf
SB 344,Texas,87th Legislature (2021),Relating to the use of electronic signatures that employ blockchain or distributed ledger technology in certain business or governmental transactions.,Jan 14 2021,Co-Author Authorized,Apr 06 2021,https://openstates.org/tx/bills/87/SB344/,Angela Paxton,Johnson,http://capitol.texas.gov/tlodocs/87R/billtext/html/SB00344I.HTM
SD 2359,Massachusetts,192nd Legislature (2021-2022),An Act establishing a rideshare driver bill of rights,Apr 01 2021,Placed On File,Apr 01 2021,https://openstates.org/ma/bills/192nd/SD2359/,,Henry Matthews De Groot,https://malegislature.gov/Bills/192/SD2359.pdf
SB 255,Kentucky,2021 Regular Session,AN ACT relating to commercial mining of cryptocurrency.,Feb 22 2021,Signed By Governor (Acts Ch. 141),Mar 25 2021,https://openstates.org/ky/bills/2021RS/SB255/,Brandon Smith,,https://apps.legislature.ky.gov/recorddocuments/bill/21RS/sb255/orig_bill.pdf
HB 230,Kentucky,2021 Regular Session,AN ACT relating to the taxation of the commercial mining of cryptocurrency.,Jan 08 2021,Signed By Governor (Acts Ch. 122),Mar 25 2021,https://openstates.org/ky/bills/2021RS/HB230/,Gerald A. Neal,,https://apps.legislature.ky.gov/recorddocuments/bill/21RS/hb230/orig_bill.pdf
